epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2339.78,1.6878,1.26493,1.15369,0.74212,0.72343,0.74181,0.43205,1.43342,3.08082,1.01412,0.000665394,0.000665394,0.000665394
2,4335.4,1.51614,0.84152,1.07814,0.77455,0.75501,0.76703,0.45867,1.40422,1.03221,1.017,0.00120019,0.00120019,0.00120019
3,6752.62,1.48514,0.79871,1.06595,0.77845,0.7434,0.76941,0.46118,1.39287,1.00186,1.0097,0.00160298,0.00160298,0.00160298
4,8877.41,1.45792,0.76764,1.05525,0.79359,0.77306,0.78983,0.48251,1.35369,0.96077,0.99262,0.001406,0.001406,0.001406
5,11485.6,1.43621,0.74196,1.04519,0.80528,0.77307,0.7991,0.4922,1.33344,0.95894,0.98363,0.001208,0.001208,0.001208
6,14145.7,1.42043,0.72158,1.03725,0.80481,0.7922,0.80669,0.50306,1.30972,0.90482,0.97939,0.00101,0.00101,0.00101
7,16754.5,1.40428,0.70686,1.03184,0.81133,0.78684,0.81086,0.50785,1.29779,0.82462,0.97063,0.000812,0.000812,0.000812
8,19358.6,1.39285,0.69005,1.02741,0.81805,0.7985,0.81816,0.51319,1.29961,0.81437,0.9704,0.000614,0.000614,0.000614
9,21385.4,1.37848,0.67627,1.02127,0.81897,0.8043,0.8235,0.51835,1.29335,0.90458,0.9671,0.000416,0.000416,0.000416
10,23563.9,1.36766,0.66278,1.01581,0.8229,0.80709,0.82753,0.52518,1.27755,0.85551,0.96126,0.000218,0.000218,0.000218
