epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3542.17,1.72178,1.39912,1.1665,0.72846,0.71616,0.72276,0.41592,1.38894,1.69132,0.96447,0.000664122,0.000664122,0.000664122
2,6685.92,1.51058,0.83715,1.07278,0.77448,0.74019,0.76545,0.45549,1.3457,0.94774,0.97015,0.00119904,0.00119904,0.00119904
3,9949.74,1.47522,0.79242,1.05919,0.78252,0.741,0.76897,0.46127,1.33542,2.86152,0.96214,0.00160196,0.00160196,0.00160196
4,13075.1,1.45774,0.76935,1.0525,0.79088,0.76933,0.78892,0.48239,1.29247,0.84436,0.94974,0.001406,0.001406,0.001406
5,16322.2,1.43578,0.74382,1.04362,0.79115,0.75463,0.78082,0.46892,1.32411,1.98083,0.96332,0.001208,0.001208,0.001208
6,19459.7,1.41914,0.72188,1.03539,0.79995,0.78503,0.80323,0.49413,1.25819,0.81759,0.93279,0.00101,0.00101,0.00101
7,22561.5,1.40016,0.70474,1.02891,0.80708,0.77671,0.80701,0.50128,1.24927,0.77117,0.9264,0.000812,0.000812,0.000812
8,25704.8,1.38959,0.6889,1.02421,0.81731,0.79885,0.81821,0.51182,1.2462,0.74879,0.9273,0.000614,0.000614,0.000614
9,28947.8,1.37506,0.67321,1.01828,0.82123,0.8002,0.82345,0.51851,1.23694,0.75014,0.92002,0.000416,0.000416,0.000416
10,32170.6,1.36384,0.66054,1.01238,0.8253,0.80719,0.82928,0.52605,1.22318,0.72333,0.91716,0.000218,0.000218,0.000218
