epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2549.98,1.73354,1.21112,1.1409,0.81797,0.70964,0.79757,0.46943,1.50409,0.82711,1.0861,0.000666016,0.000666016,0.000666016
2,4958.32,1.54431,0.83293,1.06567,0.83525,0.76486,0.83643,0.49875,1.46684,0.77895,1.06437,0.00126671,0.00126671,0.00126671
3,7571.42,1.51908,0.79884,1.05448,0.84523,0.75971,0.84006,0.49952,1.4768,0.77045,1.06445,0.00180141,0.00180141,0.00180141
4,10021.9,1.48955,0.76899,1.04376,0.86689,0.77933,0.86009,0.52464,1.40207,0.71248,1.03644,0.001703,0.001703,0.001703
5,12768.8,1.47143,0.74942,1.03557,0.8677,0.78127,0.86261,0.52917,1.39946,0.69996,1.03668,0.001604,0.001604,0.001604
6,14990.1,1.45906,0.73647,1.03131,0.87465,0.78842,0.86976,0.53979,1.38556,0.68344,1.02896,0.001505,0.001505,0.001505
7,17319.8,1.45136,0.72456,1.02857,0.87805,0.79495,0.87316,0.5389,1.38753,0.68059,1.02888,0.001406,0.001406,0.001406
8,19638.6,1.43644,0.71169,1.02284,0.87865,0.79537,0.87548,0.54662,1.37056,0.6678,1.02399,0.001307,0.001307,0.001307
9,21954.3,1.43208,0.70359,1.01878,0.87795,0.80636,0.88189,0.54784,1.38254,0.65577,1.0258,0.001208,0.001208,0.001208
10,24267.4,1.42315,0.69627,1.01698,0.88171,0.80197,0.88129,0.54767,1.38093,0.662,1.02092,0.001109,0.001109,0.001109
11,26230.6,1.39956,0.68328,1.03061,0.88454,0.80526,0.88345,0.55515,1.35912,0.64655,1.01694,0.00101,0.00101,0.00101
12,28200.3,1.39093,0.67137,1.02828,0.88731,0.81276,0.88809,0.55989,1.35253,0.63308,1.01619,0.000911,0.000911,0.000911
13,30164.3,1.38463,0.66272,1.02545,0.88657,0.81059,0.88811,0.56003,1.35106,0.63006,1.01459,0.000812,0.000812,0.000812
14,32120.7,1.37646,0.65322,1.02179,0.89024,0.81378,0.88953,0.56439,1.34213,0.62333,1.01196,0.000713,0.000713,0.000713
15,34088.6,1.37316,0.64913,1.01931,0.89401,0.81598,0.89294,0.56554,1.34313,0.61624,1.01262,0.000614,0.000614,0.000614
16,36057.6,1.3657,0.6416,1.01809,0.89287,0.81991,0.89212,0.56634,1.34051,0.61319,1.01064,0.000515,0.000515,0.000515
17,38036.1,1.3598,0.63493,1.01507,0.89549,0.81958,0.89526,0.56824,1.33514,0.60959,1.0086,0.000416,0.000416,0.000416
18,39976.6,1.35503,0.62896,1.01223,0.8969,0.82332,0.89855,0.57158,1.33159,0.60301,1.00564,0.000317,0.000317,0.000317
19,41922,1.34831,0.62249,1.00935,0.89891,0.82176,0.89764,0.57227,1.32884,0.59992,1.00605,0.000218,0.000218,0.000218
20,43878,1.34233,0.61494,1.00725,0.90131,0.82374,0.89953,0.57417,1.32806,0.59476,1.00564,0.000119,0.000119,0.000119
